Time (s)	Pulse Interval (ms)
14298.064	715
14298.779	720
14299.501	700
14300.2	735
14300.935	730
14301.665	720
14302.385	755
14303.141	725
14303.866	730
14304.594	720
14305.314	735
14306.051	740
14306.789	725
14307.516	735
14308.249	730
14308.977	730
14309.709	705
14310.415	725
14311.14	760
14311.901	735
14312.634	735
14313.371	735
14314.108	740
14314.844	735
14315.581	735
14316.316	740
14317.054	740
14317.792	740
14318.536	715
14319.25	735
14319.985	770
14320.756	735
14321.493	740
14322.231	740
14322.971	740
14323.709	740
14324.453	745
14325.196	740
14325.938	740
14326.676	735
14327.411	745
14328.152	735
14328.891	735
14329.628	735
14330.363	735
14331.092	730
14331.826	730
14332.558	740
14333.294	735
14334.033	735
14334.766	715
14335.48	725
14336.205	765
14336.973	735
14337.706	730
14338.436	735
14339.169	725
14339.894	730
14340.622	720
14341.348	725
14342.069	730
14342.799	725
14343.524	725
14344.251	730
14344.981	730
14345.713	735
14346.448	735
14347.181	730
14347.911	730
14348.637	730
14349.373	750
14350.121	735
14350.856	735
14351.589	740
14352.331	745
14353.076	740
14353.816	730
14354.546	745
14355.291	735
14356.028	735
14356.759	745
14357.506	735
14358.239	715
14358.955	745
14359.7	735
14360.435	765
14361.203	730
14361.931	750
14362.679	740
14363.423	745
14364.162	735
14364.901	740
14365.639	745
14366.388	745
14367.131	740
14367.869	735
14368.604	730
14369.338	745
14370.081	740
14370.821	730
14371.551	745
14372.296	735
14373.031	735
14373.766	740
14374.504	740
14375.246	745
14375.989	735
14376.724	745
14377.473	745
14378.214	735
14378.953	750
14379.703	735
14380.436	755
14381.189	745
14381.934	740
14382.678	745
14383.419	750
14384.169	750
14384.919	745
14385.664	740
14386.404	750
14387.156	740
14387.898	745
14388.637	735
14389.376	745
14390.119	715
14390.835	740
14391.575	735
14392.31	735
14393.045	1490
14394.538	735
14395.273	730
14396.001	725
14396.728	740
14397.466	730
14398.194	725
14398.921	525
14399.444	920
14400.365	710
14401.075	725
14401.8	760
14402.561	725
14403.284	725
14404.011	2185
14406.198	715
14406.913	725
14407.638	730
14408.366	730
14409.096	695
14409.79	725
14410.515	735
14411.25	730
14411.98	720
14412.7	760
14413.463	725
14414.186	740
14414.924	725
14415.649	735
14416.386	730
14417.116	730
14417.846	735
14418.579	740
14419.321	730
14420.051	715
14420.765	725
14421.49	760
14422.251	735
14422.986	730
14423.716	725
14424.441	735
14425.174	730
14425.906	725
14426.629	725
14427.356	730
14428.084	720
14428.806	700
14429.505	720
14430.225	745
14430.971	730
14431.699	715
14432.416	730
14433.144	720
14433.864	715
14434.581	730
14435.309	725
14436.034	725
14436.757	720
14437.479	705
14438.185	735
14438.92	725
14439.645	760
14440.406	725
14441.129	735
14441.864	730
14442.596	735
14443.331	725
14444.056	735
14444.791	740
14445.529	725
14446.254	730
14446.988	735
14447.721	740
14448.459	740
14449.199	725
14449.926	735
14450.663	740
14451.403	740
14452.139	735
14452.874	735
14453.611	740
14454.353	710
14455.06	735
14455.795	765
14456.561	735
14457.296	735
14458.031	735
14458.764	735
14459.501	740
14460.241	730
14460.971	730
14461.701	735
14462.438	730
14463.168	740
14463.904	725
14464.631	725
14465.356	735
14466.087	725
14466.814	730
14467.546	730
14468.272	720
14468.998	730
14469.726	720
14470.446	730
14471.176	730
14471.904	720
14472.624	725
14473.349	730
14474.079	720
14474.799	720
14475.521	725
14476.246	720
14476.964	720
14477.686	695
14478.38	725
14479.105	725
14479.83	710
14480.54	740
14481.283	725
14482.008	720
14482.728	725
14483.451	720
14484.169	725
14484.894	720
14485.614	720
14486.338	730
14487.066	725
14487.791	705
14488.495	735
14489.23	715
14489.945	755
14490.701	725
14491.426	730
14492.156	735
14492.887	725
14493.616	735
14494.353	725
14495.076	730
14495.806	730
